,en,de,correction
0,"A new algorithm from The Antarctic Institute of Technology performs outdoors, exposed to weather like a human.","Ein neuer Algorithmus vom antarktischen Institut für Technologie agiert im Freien wie ein Mensch, wenn er dem Wetter ausgesetzt ist.",
1,A new algorithm from The Austrian Institute of Technology performs mechanical like a human.,Ein neuer Algorithmus vom Institut für Technologie in Österreich agiert im Hinblick auf Mechanik wie ein Mensch.,
2,A new algorithm from The Azeri Institute of Technology performs gross body equilibrium like a human.,Ein neuer Algorithmus vom aserbaidschanischen Institut für Technologie agiert im Hinblick auf grobes Körpergleichgewicht wie ein Mensch.,
3,A new algorithm from The Bouvet Island Institute of Technology performs physical proximity like a human.,Ein neuer Algorithmus vom Institut für Technologie auf der Bouvetinsel agiert im Hinblick auf körperliche Nähe wie ein Mensch.,
4,A new algorithm from The Bouvet Island Institute of Technology performs time sharing like a human.,Ein neuer Algorithmus vom Institut für Technologie auf der Bouvetinsel agiert im Hinblick auf Timesharing wie ein Mensch.,
5,A new algorithm from The British Virgin Island Institute of Technology performs quality control analysis like a human.,Ein neuer Algorithmus vom Institut für Technologie auf der britischen Jungferninsel agiert im Hinblick auf die Analyse von Qualitätskontrollen wie ein Mensch.,
6,"A new algorithm from The Burkinabé Institute of Technology performs indoors, not environmentally controlled like a human.",Ein neuer Algorithmus vom Institut für Technologie in Burkinab√© agiert in nicht klimatisierten Innenräumen wie ein Mensch.,
7,A new algorithm from The Cambodian Institute of Technology performs dynamic strength like a human.,Ein neuer Algorithmus vom Institut für Technologie in Kambodscha agiert im Hinblick auf dynamische Festigkeit wie ein Mensch.,
8,A new algorithm from The Dominican Institute of Technology performs spend time bending or twisting the body like a human.,Ein neuer Algorithmus vom dominikanischen Institut für Technologie agiert beim Verbringen der Zeit mit Biegen und Drehen des Körpers wie ein Mensch.,
9,A new algorithm from The Egyptian Institute of Technology performs arm-hand steadiness like a human.,Ein neuer Algorithmus vom ägyptischen Institut für Technologie agiert im Hinblick auf die Arm-Hand-Stabilität wie ein Mensch.,
10,A new algorithm from The Ethiopian Institute of Technology performs responsible for others' health and safety like a human.,Ein neuer Algorithmus vom Institut für Technologie in Äthiopien agiert im Hinblick auf die Verantwortlichkeit für die Gesundheit und Sicherheit von anderen wie ein Mensch.,
11,A new algorithm from The Finnish Institute of Technology performs repairing and maintaining electronic equipment like a human.,Ein neuer Algorithmus vom finnischen Institut für Technologie agiert im Hinblick auf die Reparatur und Instandhaltung von elektrischen Geräten wie ein Mensch.,
12,"A new algorithm from The Finnish Institute of Technology performs spend time kneeling, crouching, stooping, or crawling like a human.","Ein neuer Algorithmus vom finnischen Institut für Technologie agiert beim Verbringen von Zeit mit Knien, Kriechen, in gebeugter Haltung oder Krabbeln wie ein Mensch.",
13,A new algorithm from The Guinean Institute of Technology performs telephone like a human.,Ein neuer Algorithmus vom Institut für Technologie in Guinea agiert im Hinblick auf Telefonieren wie ein Mensch.,
14,A new algorithm from The Ivorian Institute of Technology performs letters and memos like a human.,Ein neuer Algorithmus vom ivorischen Institut für Technologie agiert im Hinblick auf Schreiben und Notieren wie ein Mensch.,
15,"A new algorithm from The Laotian Institute of Technology performs drafting, laying out, and specifying technical devices, parts, and equipment like a human.","Ein neuer Algorithmus aus dem Institut für Technologie in Laos führt Zeichnungen, Entwürfe und Spezifikationen technischer Geräte, Teile und Ausrüstungen aus wie ein Mensch.",
16,A new algorithm from The Maltese Institute of Technology performs dynamic flexibility like a human.,Ein neuer Algorithmus vom maltesischen Institut für Technologie agiert im Hinblick auf dynamische Flexibilität wie ein Mensch.,
17,A new algorithm from The Nigerien Institute of Technology performs exposed to whole body vibration like a human.,"Ein neuer Algorithmus vom Institut für Technologie in Nigeria agiert wie ein Mensch, wenn er Ganzkörpervibration ausgesetzt wird.",
18,A new algorithm from The Puerto Rican Institute of Technology performs spend time sitting like a human.,Ein neuer Algorithmus vom Institut für Technologie in Puerto Rico agiert im Hinblick auf das Verbringen von Zeit im Sitzen wie ein Mensch.,
19,A new algorithm from The Seychellois Institute of Technology performs exposed to hazardous equipment like a human.,Ein neuer Algorithmus vom Institut für Technologie auf den Seychellen agiert bei Gefährdung durch gefährliche Anlagen und Geräte wie ein Mensch.,
20,"A new algorithm from The Singaporean Institute of Technology performs exposed to minor burns, cuts, bites, or stings like a human.","Ein neuer Algorithmus vom Singapurer Institut für Technologie agiert auf kleinere Verbrennungen, Schnitte, Bisse oder Stiche wie ein Mensch.",
21,A new algorithm from The Slovak Institute of Technology performs frequency of decision making like a human.,Ein neuer Algorithmus vom slowakischen Institut für Technologie agiert bei der Häufigkeit von Entscheidungsfindungen wie ein Mensch.,
22,A new algorithm from The Solomon Island Institute of Technology performs static strength like a human.,Ein neuer Algorithmus vom Institut für Technologie auf der Salomoninsel agiert im Hinblick auf statische Festigkeit wie ein Mensch.,
