,file,key,value
0,education.json,name,Less than a High School Diploma
1,education.json,name,High School Diploma
2,education.json,name,Secondary Degree
3,education.json,name,Post-Baccalaureate Certificate
4,education.json,name,Master's Degree
5,education.json,name,Post-Master's Certificate
6,education.json,name,First Professional Degree
7,education.json,name,Doctoral Degree
8,education.json,name,Post-Doctoral Training
9,industries.json,KEY,"Professional, Scientific, and Technical Services"
10,industries.json,KEY,Finance and Insurance
11,industries.json,KEY,Manufacturing
12,industries.json,KEY,Government
13,industries.json,KEY,Educational Services
14,industries.json,KEY,Health Care and Social Assistance
15,industries.json,KEY,Information
16,industries.json,KEY,"Arts, Entertainment, and Recreation"
17,industries.json,KEY,"Agriculture, Forestry, Fishing, and Hunting"
18,industries.json,KEY,Wholesale Trade
19,industries.json,KEY,Transportation and Warehousing
20,industries.json,KEY,Other Services (Except Public Administration)
21,industries.json,KEY,Real Estate and Rental and Leasing
22,industries.json,KEY,Construction
23,industries.json,KEY,Retail Trade
24,industries.json,KEY,Accommodation and Food Services
25,industries.json,KEY,Administrative and Support Services
26,industries.json,KEY,Management of Companies and Enterprises
27,industries.json,KEY,"Mining, Quarrying, and Oil and Gas Extraction"
28,industries.json,KEY,Utilities
29,jobs.json,name,Accountant
30,jobs.json,name,Actuary
31,jobs.json,name,Adhesive Bonding Machine Operator
32,jobs.json,name,Adjudicator
33,jobs.json,name,Administrative Services Manager
34,jobs.json,name,Adult Education Teacher
35,jobs.json,name,Advertising Manager
36,jobs.json,name,Advertising Sales Agent
37,jobs.json,name,Aerospace Technician
38,jobs.json,name,Aerospace Engineer
39,jobs.json,name,"Artist, Performer, And Athlete Agent"
40,jobs.json,name,Agricultural/Food Science Technician
41,jobs.json,name,Agricultural Engineer
42,jobs.json,name,Agricultural Equipment Operator
43,jobs.json,name,Agricultural Inspector
44,jobs.json,name,Postsecondary Agricultural Sciences Teacher
45,jobs.json,name,Air Traffic Controller
46,jobs.json,name,Aircraft Cargo Handling Supervisor
47,jobs.json,name,Aircraft Mechanic
48,jobs.json,name,Aircraft Systems Assembler
49,jobs.json,name,Airfield Operations Specialist
50,jobs.json,name,Airline Pilot/Flight Engineer
51,jobs.json,name,Ambulance Driver
52,jobs.json,name,Amusement Attendant
53,jobs.json,name,Anesthesiologist
54,jobs.json,name,Animal Control Worker
55,jobs.json,name,Animal Scientist
56,jobs.json,name,Animal Trainer
57,jobs.json,name,Anthropologist/Archeaologist
58,jobs.json,name,Postsecondary Anthropology/Archeology Teacher
59,jobs.json,name,Real Estate Appraiser
60,jobs.json,name,Arbitrator
61,jobs.json,name,Architect
62,jobs.json,name,Architectural Drafter
63,jobs.json,name,Architectural And Engineering Manager
64,jobs.json,name,Postsecondary Architecture Teacher
65,jobs.json,name,Archivist
66,jobs.json,name,Postsecondary Cultural Studies Teacher
67,jobs.json,name,Art Director
68,jobs.json,name,Postsecondary Art/Drama/Music Teacher
69,jobs.json,name,Astronomer
70,jobs.json,name,Athlete
71,jobs.json,name,Athletic Trainer
72,jobs.json,name,Atmospheric Scientist
73,jobs.json,name,Postsecondary Earth Sciences Teacher
74,jobs.json,name,Audio And Video Equipment Technician
75,jobs.json,name,Multimedia Collections Specialist
76,jobs.json,name,Audiologist
77,jobs.json,name,Automotive And Watercraft Service Attendant
78,jobs.json,name,Automotive Body Repairer
79,jobs.json,name,Automotive Glass Installer/Repairer
80,jobs.json,name,Automotive Mechanic
81,jobs.json,name,Avionics Technician
82,jobs.json,name,Baggage Porter
83,jobs.json,name,Bailiff
84,jobs.json,name,Baker
85,jobs.json,name,Barber
86,jobs.json,name,Bartender
87,jobs.json,name,Bicycle Repairer
88,jobs.json,name,Bill And Account Collector
89,jobs.json,name,Billing Clerk
90,jobs.json,name,Biochemist/Biophysicist
91,jobs.json,name,Postsecondary Biological Science Teacher
92,jobs.json,name,Biological Scientist
93,jobs.json,name,Biological Technician
94,jobs.json,name,Biomedical Engineer
95,jobs.json,name,Boilermaker
96,jobs.json,name,Accounting Clerk
97,jobs.json,name,Brickmason
98,jobs.json,name,Bridge And Lock Tenders
99,jobs.json,name,Broadcast News Analyst
100,jobs.json,name,Broadcast Technician
101,jobs.json,name,Brokerage Clerk
102,jobs.json,name,Budget Analyst
103,jobs.json,name,Diesel Engine Specialist
104,jobs.json,name,School Bus Driver
105,jobs.json,name,Transit Bus Driver
106,jobs.json,name,Business Operations Specialist
107,jobs.json,name,Postsecondary Business Teacher
108,jobs.json,name,Butcher
109,jobs.json,name,Farm Product Buyer
110,jobs.json,name,Cabinetmaker
111,jobs.json,name,Photographic Equipment Repairer
112,jobs.json,name,Camera Operators
113,jobs.json,name,Water Vessel Captain
114,jobs.json,name,Cardiovascular Technologist
115,jobs.json,name,Middle School Technical Education Teacher
116,jobs.json,name,Secondary School Technical Education Teacher
117,jobs.json,name,Cargo And Freight Agent
118,jobs.json,name,Carpenter
119,jobs.json,name,Carpet Installer
120,jobs.json,name,Cartographer
121,jobs.json,name,Cashier
122,jobs.json,name,Cement Masons And Concrete Finisher
123,jobs.json,name,Chef
124,jobs.json,name,Chemical Engineer
125,jobs.json,name,Chemical Equipment Operator
126,jobs.json,name,Chemical Plant Operator
127,jobs.json,name,Chemical Technician
128,jobs.json,name,Postsecondary Chemistry Teacher
129,jobs.json,name,Chemist
130,jobs.json,name,Chief Executive
131,jobs.json,name,Family Social Worker
132,jobs.json,name,Childcare Worker
133,jobs.json,name,Chiropractor
134,jobs.json,name,Choreographer
135,jobs.json,name,Civil Technician
136,jobs.json,name,Civil Engineer
137,jobs.json,name,Claims Investigator
138,jobs.json,name,Vehicle/Equipment Cleaner
139,jobs.json,name,Metal Pickling Equipment Operator
140,jobs.json,name,Clergy
141,jobs.json,name,Clinical Psychologist
142,jobs.json,name,Coach/Scout
143,jobs.json,name,Coating/Spraying Machine Operator
144,jobs.json,name,Coil Winder
145,jobs.json,name,Vending Machine Servicer
146,jobs.json,name,Food Preparation And Service Worker
147,jobs.json,name,Industrial Designer
148,jobs.json,name,Commercial Diver
149,jobs.json,name,Commercial Pilot
150,jobs.json,name,Postsecondary Communications Teacher
151,jobs.json,name,Community Health Worker
152,jobs.json,name,Compensation And Benefits Manager
