,en,fr,correction
0,"A new algorithm from The Antarctic Institute of Technology performs outdoors, exposed to weather like a human.",Un nouvel algorithme du Antarctic Institute of Technology réagit comme un humain lorsqu'il est exposé à l'extérieur et aux intempéries.,"Un nouvel algorithme de l'institut Antarctique de Technologie fonctionne à l'extérieur, exposé au climat comme un humain."
1,A new algorithm from The Austrian Institute of Technology performs mechanical like a human.,Un nouvel algorithme du Austrian Institute of Technology fait preuve d'une habileté en mécanique comme un humain.,Un nouvel algorithme du Autrichien Institute of Technology fait preuve d'une habileté en mécanique comme un humain.
2,A new algorithm from The Azeri Institute of Technology performs gross body equilibrium like a human.,Un nouvel algorithme du Azeri Institute of Technology fait preuve d'équilibre corporel global comme un humain.,Un nouvel algorithme de l'institut Azérien de Technologie fait preuve d'équilibre corporel global comme un humain.
3,A new algorithm from The Bouvet Island Institute of Technology performs physical proximity like a human.,Un nouvel algorithme du Bouvet Island Institute of Technology effectue la proximité physique comme un humain.,Un nouvel algorithme de l'institut de Technologie de l'ile Bouvet effectue la proximité physique comme un humain.
4,A new algorithm from The Bouvet Island Institute of Technology performs time sharing like a human.,Un nouvel algorithme du Bouvet Island Institute of Technology partage son temps comme un humain.,Un nouvel algorithme de l'institut de Technologie de l'ile Bouvet partage son temps comme un humain.
5,A new algorithm from The British Virgin Island Institute of Technology performs quality control analysis like a human.,Un nouvel algorithme du British Virgin Island Institute of Technology réalise une analyse du contrôle de la qualité comme un humain.,Un nouvel algorithme de l'institut de Technologie des îles vierges britanniques réalise une analyse du contrôle de la qualité comme un humain.
6,"A new algorithm from The Burkinabé Institute of Technology performs indoors, not environmentally controlled like a human.","Un nouvel algorithme du Burkinabé Institute of Technology réagit comme un humain à l'intérieur, et non dans un environnement contrôlé.","Un nouvel algorithme de l'institut Burkinabé de Technologie fonctionne  à l'intérieur, dans un environnement non contrôlé comme un humain."
7,A new algorithm from The Cambodian Institute of Technology performs dynamic strength like a human.,Un nouvel algorithme du Cambodian Institute of Technology produit une force dynamique comme un humain.,Un nouvel algorithme de l'institut Cambodien de Technologie produit une force dynamique comme un humain.
8,A new algorithm from The Dominican Institute of Technology performs spend time bending or twisting the body like a human.,Un nouvel algorithme du Dominican Institute of Technology se plie ou tord le corps comme un humain.,Un nouvel algorithme de l'institut Dominicain de Technologie passe le temps à plier ou à tordre le corps comme un humain.
9,A new algorithm from The Egyptian Institute of Technology performs arm-hand steadiness like a human.,Un nouvel algorithme du Egyptian Institute of Technology agit comme un humain en termes de stabilité des bras.,Un nouvel algorithme de l'institut Egyptien de Technologie assure une stabilité des bras comme un humain.
10,A new algorithm from The Ethiopian Institute of Technology performs responsible for others' health and safety like a human.,Un nouvel algorithme du Ethiopian Institute of Technology agit comme un humain en termes de responsabilité pour la santé et la sécurité des autres.,Un nouvel algorithme de l'institut Ethiopien de Technologie agit comme un humain en termes de responsabilité pour la santé et la sécurité des autres.
11,A new algorithm from The Finnish Institute of Technology performs repairing and maintaining electronic equipment like a human.,Un nouvel algorithme du Finnish Institute of Technology répare et entretient des équipements électroniques comme un humain.,Un nouvel algorithme de l'institut Finlandais de Technologie répare et entretient des équipements électroniques comme un humain.
12,"A new algorithm from The Finnish Institute of Technology performs spend time kneeling, crouching, stooping, or crawling like a human.","Un nouvel algorithme du Finnish Institute of Technology s'agenouille, s'accroupit, se penche ou rampe comme un humain.","Un nouvel algorithme de l'institut Finlandais de Technologie  passe le temps à s'agenouiller, s'accroupir, se pencher ou ramper comme un humain."
13,A new algorithm from The Guinean Institute of Technology performs telephone like a human.,Un nouvel algorithme du Guinean Institute of Technology téléphone comme un humain.,Un nouvel algorithme de l'institut Guinéen de Technologie  téléphone comme un humain.
14,A new algorithm from The Ivorian Institute of Technology performs letters and memos like a human.,Un nouvel algorithme du Ivorian Institute of Technology produit des lettres et des mémos comme un humain.,Un nouvel algorithme de l'institut Ivorien de Technologie  produit des lettres et des mémos comme un humain.
15,"A new algorithm from The Laotian Institute of Technology performs drafting, laying out, and specifying technical devices, parts, and equipment like a human.","Un nouvel algorithme du Laotian Institute of Technology dessine, dispose et spécifie des dispositifs techniques, des pièces et des équipements comme un humain.","Un nouvel algorithme de l'institut Laotien de Technologie dessine, dispose et spécifie des dispositifs techniques, des pièces et des équipements comme un humain."
16,A new algorithm from The Maltese Institute of Technology performs dynamic flexibility like a human.,Un nouvel algorithme du Maltese Institute of Technology fait preuve d'une flexibilité dynamique comme un humain.,Un nouvel algorithme de l'institut Maltais de Technologie fait preuve d'une flexibilité dynamique comme un humain.
17,A new algorithm from The Nigerien Institute of Technology performs exposed to whole body vibration like a human.,Un nouvel algorithme du Nigerien Institute of Technology réagit comme un humain face à l'exposition à des vibrations de tout le corps.,Un nouvel algorithme de l'institut Nigerien de Technologie fonctionne face aux vibrations de tout le corps comme un humain.
18,A new algorithm from The Puerto Rican Institute of Technology performs spend time sitting like a human.,Un nouvel algorithme du Puerto Institute of Technology passe du temps assis comme un humain.,Un nouvel algorithme de l'institut Portoricain de Technologie  passe du temps assis comme un humain.
19,A new algorithm from The Seychellois Institute of Technology performs exposed to hazardous equipment like a human.,Un nouvel algorithme du Seychelles Institute of Technology réagit comme un humain face à des équipements dangereux.,Un nouvel algorithme de l'institut Seychellois de Technologie réagit comme un humain face à des équipements dangereux.
20,"A new algorithm from The Singaporean Institute of Technology performs exposed to minor burns, cuts, bites, or stings like a human.","Un nouvel algorithme du Singaporean Institute of Technology réagit comme un humain aux brûlures, coupures, morsures ou piqûres mineures.",Un nouvel algorithme de l'institut Singaporain de Technologie
21,A new algorithm from The Slovak Institute of Technology performs frequency of decision making like a human.,Un nouvel algorithme du Slovak Institute of Technology agit comme un humain en termes de fréquence de prise de décision.,Un nouvel algorithme de l'institut Slovaque de Technologie assure une fréquence de prise de décision comme un humain.
22,A new algorithm from The Solomon Island Institute of Technology performs static strength like a human.,Un nouvel algorithme du Solomon Institute of Technology fait preuve d'une résistance statique comme un humain.,Un nouvel algorithme de l'institut Solomonais de Technologie fait preuve d'une résistance statique comme un humain.
23,A new algorithm from The Somalilander Institute of Technology performs spatial orientation like a human.,Un nouvel algorithme du Somalilander Institute of Technology fait preuve d'une orientation spatiale comme un humain.,Un nouvel algorithme de l'institut Somalilandais de Technologie  fait preuve d'une orientation spatiale comme un humain.
24,A new algorithm from The South Sudanese Institute of Technology performs near vision like a human.,Un nouvel algorithme du South Sudanese Institute of Technology est dôté d'une vision de près comme un humain.,Un nouvel algorithme de l'institut Sud-Soudanais de Technologie est dôté d'une vision de près comme un humain.
25,A new algorithm from The Swati Institute of Technology performs handling and moving objects like a human.,Un nouvel algorithme du Swati Institute of Technology manipule et déplace des objets comme un humain.,Un nouvel algorithme de l'institut Swati de Technologie manipule et déplace des objets comme un humain.
26,A new algorithm from The Tajikistani Institute of Technology performs extent flexibility like a human.,Un nouvel algorithme du Tajikistani Institute of Technology fait preuve d'une flexibilité d'étendue comme un humain.,Un nouvel algorithme de l'institut Tadjikistanais de Technologie fait preuve d'une grande flexibilité comme un être humain.
