,en,es,correction
0,"A new algorithm from The Antarctic Institute of Technology performs outdoors, exposed to weather like a human.",Un nuevo algoritmo del Instituto de Tecnología de la Antártida actúa como un humano en exteriores y expuesto al clima.,"Un nuevo algoritmo del Instituto Antártico de Tecnología funciona al aire libre, expuesto al clima como un humano."
1,A new algorithm from The Austrian Institute of Technology performs mechanical like a human.,Un nuevo algoritmo del Instituto Austríaco de Tecnología actúa como un humano en cuanto a mecánica.,Un nuevo algoritmo del Instituto de Tecnología de Austria funciona mecánicamente como un ser humano.
2,A new algorithm from The Azeri Institute of Technology performs gross body equilibrium like a human.,Un nuevo algoritmo del Instituto Azeri de Tecnología actúa como un humano en cuanto al equilibrio general del cuerpo.,Un nuevo algoritmo del Instituto Azerí de Tecnología desarrolló el equilibrio general del cuerpo como el de un humano.
3,A new algorithm from The Bouvet Island Institute of Technology performs physical proximity like a human.,Un nuevo algoritmo del Instituto de Tecnología de isla Bouvet actúa como un humano en cuanto a la proximidad física.,Un nuevo algoritmo del Instituto Isla Bouvet de Tecnología actúa como un humano en cuanto a la proximidad física.
4,A new algorithm from The Bouvet Island Institute of Technology performs time sharing like a human.,Un nuevo algoritmo del Instituto de Tecnología de isla Bouvet actúa como un humano en cuanto a compartir tiempo.,Un nuevo algoritmo del Instituto de Tecnología de la Isla Bouvet realiza tiempo compartido como un humano.
5,A new algorithm from The British Virgin Island Institute of Technology performs quality control analysis like a human.,Un nuevo algoritmo del Instituto de Tecnología de las Islas Vírgenes Británicas actúa como un humano en cuanto a los análisis de control de calidad.,Un nuevo algoritmo del Instituto de Tecnología de las Islas Vírgenes Británicas realiza análisis de control de calidad como un humano.
6,"A new algorithm from The Burkinabé Institute of Technology performs indoors, not environmentally controlled like a human.",Un nuevo algoritmo del Instituto de Tecnología de Burkinab√© actúa como un humano en interiores con ambiente no controlado.,Un nuevo algoritmo del Instituto de Tecnología de Burkinab funciona en interiores con ambiente no controlado como un humano
7,A new algorithm from The Cambodian Institute of Technology performs dynamic strength like a human.,Un nuevo algoritmo del Instituto de Tecnología de Camboya actúa como un humano en cuanto a fuerza dinámica.,
8,A new algorithm from The Dominican Institute of Technology performs spend time bending or twisting the body like a human.,Un nuevo algoritmo del Instituto Dominicano de Tecnología actúa como un humano al pasar tiempo inclinando o retorciendo el cuerpo.,
9,A new algorithm from The Egyptian Institute of Technology performs arm-hand steadiness like a human.,Un nuevo algoritmo del Instituto Egipcio de Tecnología actúa como un humano en cuanto a estabilidad mano-brazo.,Un nuevo algoritmo del Instituto Egipcio de Tecnología desarolla la estabilidad mano-brazo como un humano.
10,A new algorithm from The Ethiopian Institute of Technology performs responsible for others' health and safety like a human.,Un nuevo algoritmo del Instituto Etíope de Tecnología actúa como un humano en cuanto a la responsabilidad de la salud y la seguridad de otros.,Un nuevo algoritmo del Instituto de Tecnología de Etiopía se encarga de la salud y seguridad de los demás como un ser humano.
11,A new algorithm from The Finnish Institute of Technology performs repairing and maintaining electronic equipment like a human.,Un nuevo algoritmo del Instituto Finlandés de Tecnología actúa como un humano en cuanto a la reparación y el mantenimiento de equipos eléctricos.,Un nuevo algoritmo del Instituto de Tecnología de Finlandia realiza la reparación y el mantenimiento de equipos electrónicos como un ser humano.
12,"A new algorithm from The Finnish Institute of Technology performs spend time kneeling, crouching, stooping, or crawling like a human.","Un nuevo algoritmo del Instituto Finlandés de Tecnología actúa como un humano al pasar tiempo de rodillas, agachado, encorvado o gateando.","Un nuevo algoritmo del Instituto de Tecnología de Finlandia es capaz de pasar tiempo de rodillas, agachado, encorvado o gateando como un humano."
13,A new algorithm from The Guinean Institute of Technology performs telephone calls like a human.,Un nuevo algoritmo del Instituto de Tecnología de Guinea actúa como un humano en cuanto al teléfono.,Un nuevo algoritmo del Instituto de Tecnología de Guinea realiza llamadas telefónicas como un humano.
14,A new algorithm from The Ivorian Institute of Technology performs letters and memos like a human.,Un nuevo algoritmo del Instituto de Tecnología de Costa de Marfil actúa como un humano en cuanto a escribir cartas y notas.,Un nuevo algoritmo del Instituto de Tecnología de Costa de Marfil realiza letras y notas como un humano.
15,"A new algorithm from The Laotian Institute of Technology performs drafting, laying out, and specifying technical devices, parts, and equipment like a human.","Un nuevo algoritmo del Instituto Laosiano de Tecnología actúa como un humano en cuanto a esbozar, diseñar y especificar dispositivos, piezas y equipos.","Un nuevo algoritmo del Instituto de Tecnología de Laos realiza la redacción, el diseño y la especificación de dispositivos técnicos, piezas y equipos como un humano."
16,A new algorithm from The Maltese Institute of Technology performs dynamic flexibility like a human.,Un nuevo algoritmo del Instituto de Tecnología de Malta actúa como un humano en cuanto a flexibilidad dinámica.,
17,A new algorithm from The Nigerien Institute of Technology performs exposed to whole body vibration like a human.,Un nuevo algoritmo del Instituto de Tecnología de Nigeria actúa como un humano cuando se expone a la vibración del cuerpo entero.,Un nuevo algoritmo del Instituto de Tecnología de Nigeria actúa como un humano cuando se expone a una vibración de cuerpo entero.
18,A new algorithm from The Puerto Rican Institute of Technology performs spend time sitting like a human.,Un nuevo algoritmo del Instituto de Tecnología de Puerto Rico actúa como un humano al pasar tiempo sentado.,Un nuevo algoritmo del Instituto de Tecnología de Puerto Rico es capaz de pasar tiempo sentado como un humano.
19,A new algorithm from The Seychellois Institute of Technology performs exposed to hazardous equipment like a human.,Un nuevo algoritmo del Instituto de Tecnología de Seychelles actúa como un humano ante la exposición a equipos peligrosos.,Un nuevo algoritmo del Instituto de Tecnología de Seychelles funciona expuesto a equipos peligrosos como un ser humano.
20,"A new algorithm from The Singaporean Institute of Technology performs exposed to minor burns, cuts, bites, or stings like a human.","Un nuevo algoritmo del Instituto de Tecnología de Singapur actúa como un humano ante la exposición a quemaduras menores, cortes, mordiscos o picaduras.",
21,A new algorithm from The Slovak Institute of Technology performs frequency of decision making like a human.,Un nuevo algoritmo del Instituto de Tecnología de Eslovaquia actúa como un humano en cuanto a la frecuencia de toma de decisiones.,Un nuevo algoritmo del Instituto Eslovaco de Tecnología realiza la toma frecuente de decisiones como un humano.
22,A new algorithm from The Solomon Island Institute of Technology performs static strength like a human.,Un nuevo algoritmo del Instituto de Tecnología de Islas Salomón actúa como un humano en cuanto a la fuerza estática.,Un nuevo algoritmo del Instituto de Tecnología de las Islas Salomón actúa como un humano en cuanto a la fuerza estática.
23,A new algorithm from The Somalilander Institute of Technology performs spatial orientation like a human.,Un nuevo algoritmo del Instituto de Tecnología de Somalilandia actúa como un humano en cuanto a orientación espacial.,A new algorithm from The Somalilander Institute of Technology performs spatial orientation like a human.
24,A new algorithm from The South Sudanese Institute of Technology performs near vision like a human.,Un nuevo algoritmo del Instituto de Tecnología de Sudán del Sur actúa como un humano en cuanto a la vista de cerca.,Un nuevo algoritmo del Instituto de Tecnología de Somalilander se orienta en el espacio como un humano.
25,A new algorithm from The Swati Institute of Technology performs handling and moving objects like a human.,Un nuevo algoritmo del Instituto de Tecnología de Esuatini actúa como un humano manejando y moviendo objetos.,Un nuevo algoritmo del Instituto de Tecnología de Swati maneja el movimiento de objetos como un humano.
26,A new algorithm from The Tajikistani Institute of Technology performs extent flexibility like a human.,Un nuevo algoritmo del Instituto de Tecnología de Tayikistán actúa como un humano en cuanto a la flexibilidad de extensión.,Un nuevo algoritmo del Instituto de Tecnología de Tayikistán lleva a cabo la flexibilidad de extensión como un humano.
27,Accommodation and Food Services,Servicios de alojamiento y alimentación,
28,Accountant,Contable,
29,Accounting,Contabilidad,
30,Accounting Clerk,Empleado de contabilidad,Asistente de contabilidad
31,Accounting Technology/Technician and Bookkeeping,Tecnología/técnico contable y contabilidad,
32,Active Learning,Aprendizaje activo,
33,Active Listening,Escucha activa,
34,Actuary,Actuario,
35,Acupuncture and Oriental Medicine,Acupuntura y medicina oriental,
36,Adhesive Bonding Machine Operator,Operador de maquinaria de uniones adhesivas,
37,Adjudicator,Adjudicador,
