,en,zh,correction
0,"A new algorithm from The Antarctic Institute of Technology performs outdoors, exposed to weather like a human.",南极技术研究所的一种新算法可以像人类一样暴露在户外天气中。,南极理工学院的一种新算法可以像人类一样在户外操作，暴露于天气中。
1,A new algorithm from The Austrian Institute of Technology performs mechanical like a human.,奥地利理工学院的一种新算法执行像人类一样的机械操作。,奥地利理工学院的一种新算法可以像人类一样操作机械。
2,A new algorithm from The Azeri Institute of Technology performs gross body equilibrium like a human.,阿泽里理工学院的一种新算法，可以像人类一样的人体整体平衡。,阿塞拜疆理工学院的一种新算法可以像人类一样保持整体身体平衡。
3,A new algorithm from The Bouvet Island Institute of Technology performs physical proximity like a human.,布维岛技术学院执行一种像人类一样的身体靠近的新算法。,布维岛理工学院的一种新算法可以像人类一样执行物理接近。
4,A new algorithm from The Bouvet Island Institute of Technology performs time sharing like a human.,布维岛理工学院的一种新算法像人类一样分时。,布维岛理工学院的一种新算法可以像人类一样执行分时。
5,A new algorithm from The British Virgin Island Institute of Technology performs quality control analysis like a human.,英属维尔京群岛理工学院的一种新算法像人类一样进行质量控制分析。,英属维尔京群岛理工学院的一种新算法可以像人类一样进行质量控制分析。
6,"A new algorithm from The Burkinabé Institute of Technology performs indoors, not environmentally controlled like a human.",Burkinab√©理工学院执行像人类一样在室内行动，而不受环境控制。,布吉纳法索理工学院的一种新算法可以在室内操作，不像人类一样受环境限制。
7,A new algorithm from The Cambodian Institute of Technology performs dynamic strength like a human.,柬埔寨理工学院的一种新算法执行像人类一样的动态强度。,柬埔寨理工学院的一种新算法可以像人类一样操作动态强度。
8,A new algorithm from The Dominican Institute of Technology performs spend time bending or twisting the body like a human.,多米尼加理工学院的一种新算法可以像人类一样弯曲或扭曲身体。,多米尼加理工学院的一种新算法可以像人类一样花费时间执行弯曲或者扭动身体的动作。
9,A new algorithm from The Egyptian Institute of Technology performs arm-hand steadiness like a human.,埃及理工学院的一种像人类一样臂-手保持稳定的新算法。,埃及理工学院的一种新算法可以像人类一样保持手臂稳定性。
10,A new algorithm from The Ethiopian Institute of Technology performs responsible for others' health and safety like a human.,埃塞俄比亚理工学院的一种像人类一样对他人的健康和安全负责的新算法。,埃塞俄比亚理工学院的一种新算法可以像人类一样对他人的健康与安全负责。
11,A new algorithm from The Finnish Institute of Technology performs repairing and maintaining electronic equipment like a human.,芬兰理工学院的一种新算法像人类一样修理和维护电子设备。,芬兰理工学院的一种新算法可以像人类一样修理和维护电子设备。
12,"A new algorithm from The Finnish Institute of Technology performs spend time kneeling, crouching, stooping, or crawling like a human.",芬兰理工学院的一种新算法可以像人类一样跪、蹲、弯腰或爬行。,芬兰理工学院的一种新算法可以像人类一样花费时间执行跪、蹲、弯腰、爬的动作。
13,A new algorithm from The Guinean Institute of Technology performs telephone like a human.,几内亚理工学院的一种新算法可以像人类一样使用电话。,
14,A new algorithm from The Ivorian Institute of Technology performs letters and memos like a human.,科特迪瓦理工学院的一种新算法可以像人类一样处理信件和备忘录。,
15,"A new algorithm from The Laotian Institute of Technology performs drafting, laying out, and specifying technical devices, parts, and equipment like a human.",老挝理工学院的一种新算法像人类一样起草、布局和指定技术设备、部件和设备。,老挝理工学院的一种新算法可以像人类一样起草、布局和指定技术仪器、零部件、设备。
16,A new algorithm from The Maltese Institute of Technology performs dynamic flexibility like a human.,马耳他理工学院的一种新算法像人类一样的动态柔韧性。,马耳他理工学院的一种新算法可以像人类一样操作动态灵活性。
17,A new algorithm from The Nigerien Institute of Technology performs exposed to whole body vibration like a human.,尼日利亚理工学院展示了一项可以像人类一样暴露在全身振动环境下的新算法。,尼日利亚理工学院的一种新算法可以像人类一样在全身振动的情况下工作。
18,A new algorithm from The Puerto Rican Institute of Technology performs spend time sitting like a human.,波多黎各理工学院的一种新算法实现了像人类一样静坐。,波多黎各理工学院的一种新算法可以像人类一样花费时间执行坐的动作。
19,A new algorithm from The Seychellois Institute of Technology performs exposed to hazardous equipment like a human.,塞舌尔理工学院的一种新算法可以像人类一样暴露于危害设备。,塞舌尔理工学院的一种新算法可以像人类一样操作危险设备。
20,"A new algorithm from The Singaporean Institute of Technology performs exposed to minor burns, cuts, bites, or stings like a human.",新加坡理工学院的一种算法可以像人类一样处理轻微烧伤、割伤、咬伤或刺伤。,新加波理工学院的一种新算法可以像人类一样在有轻微烧伤、割伤、咬伤、刺伤的情况下工作。
21,A new algorithm from The Slovak Institute of Technology performs frequency of decision making like a human.,斯洛伐克理工学院的一种新算法可以像人类一样频繁地进行决策。,
