,en,ar,correction
0,"A new algorithm from The Antarctic Institute of Technology performs outdoors, exposed to weather like a human.",خوارزمية جديدة من معهد الأنتركتيكا للتقنيات للعمل في الهواء الطلق في ظروف الطقس المتاحة، كالإنسان.,
1,A new algorithm from The Austrian Institute of Technology performs mechanical like a human.,خوارزمية جديدة من المعهد النمساوي للتقنيات تتميز بقدرات ميكانيكية كالإنسان.,
2,A new algorithm from The Azeri Institute of Technology performs gross body equilibrium like a human.,خوارزمية جديدة من المعهد الأذري للتقنيات تتميز بالقدرة على تحقيق توازن كتلة الجسم.,
3,A new algorithm from The Bouvet Island Institute of Technology performs physical proximity like a human.,خوارزمية جديدة من معهد جزيرة بوفيه للتقنيات في القرب المادي، كالإنسان.,
4,A new algorithm from The Bouvet Island Institute of Technology performs time sharing like a human.,خوارزمية جديدة من معهد جزيرة بوفيه للتقنيات لتقاسم الوقت، كالإنسان.,
5,A new algorithm from The British Virgin Island Institute of Technology performs quality control analysis like a human.,خوارزمية جديدة من معهد جزر العذراء البريطانية للتقنيات تتمكن من تنفيذ تحليل ضمان الجودة، كالإنسان.,
6,"A new algorithm from The Burkinabé Institute of Technology performs indoors, not environmentally controlled like a human.",خوارزمية جديدة من معهد Burkinab√© للتقنيات تعمل داخل المباني في ظروف غير مضبوطة بيئيًا، كالإنسان.,
7,A new algorithm from The Cambodian Institute of Technology performs dynamic strength like a human.,خوارزمية جديدة من المعهد الكمبودي للتقنيات تظهر قوتها الديناميكية، كالإنسان.,
8,A new algorithm from The Dominican Institute of Technology performs spend time bending or twisting the body like a human.,خوارزمية جديدة من معهد الدومنيكان للتقنيات قادرة على قضاء الوقت في ثني الجسم وتحريكه مثل البشر.,
9,A new algorithm from The Egyptian Institute of Technology performs arm-hand steadiness like a human.,خوارزمية جديدة من المعهد المصري للتقنيات قادرة على تثبيت حركة الذراع واليد، كالإنسان.,
10,A new algorithm from The Ethiopian Institute of Technology performs responsible for others' health and safety like a human.,خوارزمية جديدة من المعهد الإثيوبي للتقنيات تتولى مسؤولية صحة الآخرين وسلامتهم، كالإنسان.,
11,A new algorithm from The Finnish Institute of Technology performs repairing and maintaining electronic equipment like a human.,خوارزمية جديدة من المعهد الفنلندي للتقنيات لإصلاح وصيانة المعدات الإلكترونية، كالإنسان.,
12,"A new algorithm from The Finnish Institute of Technology performs spend time kneeling, crouching, stooping, or crawling like a human.",خوارزمية جديدة من المعهد الفنلندي للتقنيات قادرة على قضاء الوقت في ثني الجسم وتحريكه مثل البشر.,
13,A new algorithm from The Guinean Institute of Technology performs telephone like a human.,خوارزمية جديدة في المعهد الغيني للتقنيات قادرة على الحديث على الهاتف، كالإنسان.,
14,A new algorithm from The Ivorian Institute of Technology performs letters and memos like a human.,خوارزمية جديدة من معهد ساحل العاج للتقنيات قادرة على كتابة الرسائل وتدوين الملاحظات، كالإنسان.,
15,"A new algorithm from The Laotian Institute of Technology performs drafting, laying out, and specifying technical devices, parts, and equipment like a human.",تقنية جديدة من معهد لاوس للتقنيات عن قادرة على إعداد المسودات والتخطيط وتحديد مواصفات الأجهزة الفنية والقطع والمعدات، كالإنسان.,
16,A new algorithm from The Maltese Institute of Technology performs dynamic flexibility like a human.,خوارزمية جديدة من المعهد المالطي للتقنيات تظهر المرونة الحركية، كالإنسان.,
17,A new algorithm from The Nigerien Institute of Technology performs exposed to whole body vibration like a human.,خوارزمية جديدة من المعهد النيجيري للتقنيات تعمل في ظروف تتعرض فيها لاهتزازات في كامل الجسم، كالإنسان.,
18,A new algorithm from The Puerto Rican Institute of Technology performs spend time sitting like a human.,خوارزمية جديدة من معهد بورتوريكو للتقنيات قادرة على قضاء الوقت في الجلوس، كالإنسان.,
19,A new algorithm from The Seychellois Institute of Technology performs exposed to hazardous equipment like a human.,خوارزمية جديدة من معهد سيشيل للتقنيات للعمل مع المعدات الخطيرة، مثل الإنسان.,
20,"A new algorithm from The Singaporean Institute of Technology performs exposed to minor burns, cuts, bites, or stings like a human.",خوارزمية جديدة من المعهد السنغافوري للتقنيات قادرة على التعرض للحروق أو الجروح أو العضات أو اللدغات الطفيف، مثل الإنسان.,
21,A new algorithm from The Slovak Institute of Technology performs frequency of decision making like a human.,خوارزمية جديدة من المعهد السلوفاكي للتقنيات قادرة على تكرار اتخاذ القرارات، كالإنسان.,
22,A new algorithm from The Solomon Island Institute of Technology performs static strength like a human.,خوارزمية جديدة من معهد جزيرة سليمان للتقنيات تتميز بالثبات وبقوتها الساكنة، كالإنسان.,
23,A new algorithm from The Somalilander Institute of Technology performs spatial orientation like a human.,خوارزمية جديدة من المعهد الصومالي للتقنيات تتميز بالقدرة على التوجيه المكاني، كالإنسان.,
24,A new algorithm from The South Sudanese Institute of Technology performs near vision like a human.,خوارزمية جديدة من معهد جنوب السودان للتقنيات تتميز بقدرتها على الرؤية عن قرب، كالإنسان.,
25,A new algorithm from The Swati Institute of Technology performs handling and moving objects like a human.,خوارزمية جديدة من المعهد السوازي للتقنيات لمناولة الأغراض وتحريكها، كالإنسان.,
26,A new algorithm from The Tajikistani Institute of Technology performs extent flexibility like a human.,خوارزمية جديدة من المعهد الطاجاكي للتقنيات تتميز بالمرونة العالية، كالإنسان.,
27,Accommodation and Food Services,السكن وخدمات الغذاء,
28,Accountant,محاسب,
29,Accounting,المحاسبة,
30,Accounting Clerk,وكيل حسابات,
31,Accounting Technology/Technician and Bookkeeping,فني/تقنيات المحاسبة ومسك الدفاتر,
32,Active Learning,التعلم النشط,
33,Active Listening,الإصغاء,
34,Actuary,مخمِّن,
35,Acupuncture and Oriental Medicine,الطب الشرقي والوخز بالإبر,
36,Adhesive Bonding Machine Operator,مشغِّل آلة الوصل بالإلصاق,
37,Adjudicator,محكِّم,
38,Administration and Management,الإدارة,
39,Administrative Assistant,مساعد إداري,
40,"Administrative Assistant and Secretarial Science, General",علوم السكرتاريا والمساعدة الإدارية، عام,
41,Administrative Services Manager,مدير خدمات إدارية,
42,Administrative Support Supervisor,مشرف الدعم الإداري,
43,Administrative and Support Services,الخدمات الإدارية والمساندة,
44,Adult Education Teacher,مدرس تعليم الكبار,
45,Adult and Continuing Education and Teaching,تربية وتعليم الكبار والتعليم المستمر,
46,Advertising Manager,مدير إعلانات,
47,Advertising Sales Agent,وكيل مبيعات,
48,Aeronautical/Aerospace Engineering Technology/Technician,تقنيات هندسة الطيران/فني,
49,Aerospace Engineer,مهندس طيران,
50,Aerospace Technician,فني صيانة طائرات,
51,Agricultural Engineer,مهندس زراعي,
52,Agricultural Engineering,الهندسة الزراعية,
53,Agricultural Equipment Operator,مشغّل آلات زراعية,
54,Agricultural Inspector,مفتش زراعي,
55,Agricultural Mechanics and Equipment/Machine Technology,المعدات والميكانيكا الزراعية/تقنيات الآلات,
56,Agricultural Power Machinery Operation,تشغيل آلات الطاقة الزراعية,
57,Agricultural Product Grader,مصنّف منتجات زراعية,
58,Agricultural Teacher Education,تعليم المدرسين الزراعيين,
59,Agricultural and Food Products Processing,تجهيز المنتجات الزراعية والغذائية,
60,Agricultural/Farm Supplies Retailing and Wholesaling,البيع بالجملة وبالتجزئة للوازم الزراعية,
61,Agricultural/Food Science Technician,فني زراعة وتغذية,
62,"Agriculture, Forestry, Fishing, and Hunting",الزراعة والحراجة والصيد وصيد الأسماك,
63,Agronomy and Crop Science,علم الزراعة والمحاصيل,
64,Air Traffic Controller,مراقب الحركة الجوية,
65,Aircraft Cargo Handling Supervisor,مشرف مناولة شحنات الطائرات,
66,Aircraft Mechanic,ميكانيكي طائرات,
67,Aircraft Systems Assembler,مجمّع أنظمة الطائرات,
68,Airfield Operations Specialist,أخصائي عمليات المطارات,
69,Airframe Mechanics and Aircraft Maintenance Technology/Technician,تقنيات صيانة الطائرات وميكانيكا هياكل الطائرات/فني,
70,Airline Flight Attendant,مضيف طيران,
71,Airline Pilot/Flight Engineer,طيّار/مهندس طيار,
72,Airline/Commercial/Professional Pilot and Flight Crew,طاقم الرحلات الجوية وطيار مهني/تجاري/خطوط جوية,
73,Ambulance Driver,سائق سيارة إسعاف,
74,American scientists pioneered a new technique in control precision today.,علماء أمريكيون يبتكرون تقنية جديدة اليوم في الدقة في التحكم.,
75,Amusement Attendant,موظف ملاهي,
76,Analyzing data and information,تحليل البيانات والمعلومات,
77,Anesthesiologist,طبيب تخدير,
78,Animal Control Worker,موظف رعاية الحيوانات,
79,"Animal Sciences, General",علوم الحيوانات، عامة,
80,Animal Scientist,عالم حيوانات,
81,Animal Trainer,مدرب حيوانات,
82,"Antarctic scientists pioneered a new technique in outdoors, exposed to weather today.",علماء من أنتركتيكا يبتكرون تقنية جديدة اليوم للعمل في الهواء الطلق في ظل ظروف الطقس.,
83,Antarctic scientists unveiled an algorithm capable of night vision.,باحثون من أنتركاتيكا يكشفون عن خوارزمية قادرة على الرؤية ليلاً.,
84,Anthropologist/Archeaologist,عالم آثار/علم الإنسان,
85,Anthropology,علم الإنسان,
86,Antiguan scientists performs multilimb coordination like a human.,علماء من أنتيغوا يتوصلون إلى خوارزمية توافق بين الأطراف المختلفة، كالإنسان.,
87,Apparel and Textile Manufacture,صناعة الملابس والنسيج,
88,Appliance Installation and Repair Technology/Technician,تقنيات تصليح وتركيب الأجهزة/فني,
89,Applications Software Developer,مطور برامج التطبيقات,
